sep_threshold,avg_speed,sigma,avg_evac_time,avg_panic
2.0,1.6,0.01,984.5791666666667,0.1172106272126786
2.0,1.8,0.01,864.5958333333333,0.1173732997842167
2.0,2.0,0.01,960.0416666666666,0.10943453817847365
2.0,2.2,0.01,748.6291666666667,0.11081734708287462
2.0,1.2,0.01,1293.2708333333333,0.12000579078593383
2.0,1.4,0.01,1108.4375,0.12041442443366536
2.0,1.6,0.01,956.2291666666666,0.11992703660103664
2.0,1.8,0.01,883.85,0.11733556206463837
2.0,2.0,0.01,784.2416666666667,0.1150206127081166
2.0,2.2,0.01,725.1541666666667,0.11625512142319373
2.0,1.2,0.01,1296.7166666666667,0.12056066276685072
2.0,1.4,0.01,1106.7875,0.12019495627810337
2.0,1.6,0.01,974.5,0.11979177221811817
2.0,1.8,0.01,852.2625,0.12126867080885205
2.0,2.0,0.01,778.6041666666666,0.11668712021304395
2.0,2.2,0.01,717.0416666666666,0.11523497252111975
2.0,1.2,0.01,1253.0666666666666,0.12489792768402101
2.0,1.4,0.01,1108.1166666666666,0.12194376158566013
2.0,1.6,0.01,991.8125,0.11867475774485726
2.0,1.8,0.01,881.0416666666666,0.11826755447739243
2.0,2.0,0.01,787.9375,0.11945579034750331
2.0,2.2,0.01,726.5833333333334,0.11573413516317999
2.0,1.2,0.1,1412.225,0.11647670039721941
2.0,1.4,0.1,1104.175,0.1201441469046205
2.0,1.6,0.1,984.15,0.1182193655291019
2.0,1.8,0.1,891.8416666666667,0.11695545168324424
2.0,2.0,0.1,806.1125,0.11451846942456158
2.0,2.2,0.1,727.1083333333333,0.11430352589224026
2.0,1.2,0.1,1282.8791666666666,0.12290690640219322
2.0,1.4,0.1,1110.8375,0.1184552058462775
2.0,1.6,0.1,982.6375,0.11837435962872586
2.0,1.8,0.1,883.0791666666667,0.1170055126637635
2.0,2.0,0.1,806.8541666666666,0.11503212088272452
2.0,2.2,0.1,708.3791666666667,0.11652547164270759
2.0,1.2,0.1,1317.2166666666667,0.1176459458176511
2.0,1.4,0.1,1112.7166666666667,0.12154864039935769
2.0,1.6,0.1,981.8125,0.11967046859415212
2.0,1.8,0.1,864.9458333333333,0.1180503559123698
2.0,2.0,0.1,798.9583333333334,0.11432164575775637
2.0,2.2,0.1,729.0291666666667,0.11654936373660477
2.0,1.2,0.1,1277.0958333333333,0.12067639899552658
2.0,1.4,0.1,1131.525,0.12043382581420786
2.0,1.6,0.1,993.6166666666667,0.11899547441026481
2.0,1.8,0.1,876.2916666666666,0.11760228677181246
2.0,2.0,0.1,776.8083333333333,0.11672774335782474
2.0,2.2,0.1,732.4416666666667,0.11330506796616246
2.0,1.2,0.1,1262.3958333333333,0.12282008587370209
2.0,1.4,0.1,1093.0291666666667,0.12058206763019122
2.0,1.6,0.1,983.0958333333333,0.1178047430678077
2.0,1.8,0.1,913.3583333333333,0.11356874343098462
2.0,2.0,0.1,802.1333333333333,0.1154185161519147
2.0,2.2,0.1,721.9083333333333,0.11667575312765249
2.0,1.2,0.1,1316.2958333333333,0.11921715232334266
2.0,1.4,0.1,1114.7208333333333,0.11893703242918795
2.0,1.6,0.1,994.2416666666667,0.11667340042893984
2.0,1.8,0.1,882.65,0.11542884829608181
2.0,2.0,0.1,808.5333333333333,0.11794798918906037
2.0,2.2,0.1,720.9416666666667,0.11507440708577427
2.0,1.2,0.1,1314.625,0.11764594080800886
2.0,1.4,0.1,1112.8166666666666,0.12076115457397614
2.0,1.6,0.1,981.9333333333333,0.11828193794153921
2.0,1.8,0.1,887.6416666666667,0.11715713883648442
2.0,2.0,0.1,821.9166666666666,0.1140289446173861
2.0,2.2,0.1,749.3625,0.11351337587547605
2.0,1.2,0.1,1289.575,0.12116952632416175
2.0,1.4,0.1,1141.1958333333334,0.11967901051208191
2.0,1.6,0.1,988.8583333333333,0.11854610844998902
2.0,1.8,0.1,890.1708333333333,0.11677353735861601
2.0,2.0,0.1,792.5291666666667,0.11582005319681568
2.0,2.2,0.1,746.1791666666667,0.11300414473276485
2.0,1.2,0.1,1290.8833333333334,0.12164128095951049
2.0,1.4,0.1,1136.9916666666666,0.11741702100983073
2.0,1.6,0.1,968.375,0.12059381545197502
2.0,1.8,0.1,888.2416666666667,0.11655333001413391
2.0,2.0,0.1,792.4333333333333,0.11399082005698129
2.0,2.2,0.1,736.8041666666667,0.1140492891692074
2.0,1.2,0.1,1274.75,0.12354019444147944
2.0,1.4,0.1,1128.2958333333333,0.11933144642019865
2.0,1.6,0.1,977.2041666666667,0.11882287199059093
2.0,1.8,0.1,908.0291666666667,0.11312155382099795
2.0,2.0,0.1,794.0541666666667,0.11639093647012626
2.0,2.2,0.1,731.3666666666667,0.11437627247408529
2.0,1.2,0.2,1328.2791666666667,0.11947315113605428
2.0,1.4,0.2,1150.475,0.1155819627460866
2.0,1.6,0.2,1006.8708333333333,0.11720091724064473
2.0,1.8,0.2,897.7916666666666,0.11401249600156914
2.0,2.0,0.2,829.3,0.11302512663422395
2.0,2.2,0.2,749.5458333333333,0.1149597285716608
2.0,1.2,0.2,1371.2708333333333,0.11829558934535794
2.0,1.4,0.2,1129.9833333333333,0.1193969253656868
2.0,1.6,0.2,993.4166666666666,0.11707378714434323
2.0,1.8,0.2,910.9,0.11592026074351575
2.0,2.0,0.2,830.0208333333334,0.1139837896559855
2.0,2.2,0.2,776.025,0.11261518115272975
2.0,1.2,0.2,1347.15,0.11701186295517386
2.0,1.4,0.2,1141.725,0.11841957381196917
2.0,1.6,0.2,1027.45,0.11647215111015735
2.0,1.8,0.2,891.3916666666667,0.11710046687271712
2.0,2.0,0.2,810.2083333333334,0.11402874222204021
2.0,2.2,0.2,735.675,0.11387305264453153
2.0,1.2,0.2,1304.4333333333334,0.12036928516007288
2.0,1.4,0.2,1114.5666666666666,0.12066507358494642
2.0,1.6,0.2,1027.1333333333334,0.11831529908794707
2.0,1.8,0.2,908.9208333333333,0.11592622670324179
2.0,2.0,0.2,815.3666666666667,0.11254300817963898
